Product Name,Product Image URL,Price,Color
GE Profile™ ENERGY STAR® 29 Cu. Ft. Smart Fingerprint Resistant 4-Door French-Door Refrigerator with Door In Door,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/422760/730346/g98xtsbghwlbbdwc3x8m__91748.1.jpg,"2,599.00",
GE Profile™ ENERGY STAR® 28.4 Cu. Ft. Quad-Door Refrigerator with Dual-Dispense AutoFill Pitcher and Door in Door,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/422759/730331/w4phoc0q8p0owauokup3__65069.1.jpg,"2,799.00",
GE Profile™ ENERGY STAR® 28.7 Cu. Ft. Smart Fingerprint Resistant 4-Door French-Door Refrigerator With Dual-Dispense AutoFill Pitcher,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/422669/727430/g98xtsbghwlbbdwc3x8m__94880.1.jpg,"2,399.00",
GE Profile™ 22.1 Cu. Ft. Counter-Depth Fingerprint Resistant French-Door Refrigerator with Door In Door and Hands-Free AutoFill,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/134490/551610/3d334dbf42c9c5620f2e92669279c78c00aecc3d__75337.1.jpg,"3,599.00",
GE Profile™ ENERGY STAR® 22.1 Cu. Ft. Counter-Depth Fingerprint Resistant French-Door Refrigerator with Hands-Free AutoFill,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/134489/551911/3d334dbf42c9c5620f2e92669279c78c00aecc3d__51942.1.jpg,"2,599.00",
GE Profile™ ENERGY STAR® 23.1 Cu. Ft. Counter-Depth Fingerprint Resistant French-Door Refrigerator,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/134478/551228/be5d9f821704a96290aa31292b278c5f343ed709__12353.1.jpg,"2,969.00",
GE Profile™ ENERGY STAR® 27.7 Cu. Ft. Fingerprint Resistant French-Door Refrigerator with Hands-Free AutoFill,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/134475/628308/007a04bd7608222b72e36be9e6a4797f0e3005e3__81560.1.jpg,"2,399.00",
GE Profile™ 27.7 Cu. Ft. Fingerprint Resistant French-Door Refrigerator with Door In Door and Hands-Free AutoFill,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/134474/614751/007a04bd7608222b72e36be9e6a4797f0e3005e3__62751.1.jpg,"3,419.00",
GE Profile™ ENERGY STAR® 22.1 Cu. Ft. Counter-Depth French-Door Refrigerator with Hands-Free AutoFill,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/3573/551739/5e5e2d19233c8fbc8dce3929ae9bb4cfcc25f283__57162.1.jpg,"3,419.00",
GE Profile™ ENERGY STAR® 27.7 Cu. Ft. French-Door Refrigerator with Hands-Free AutoFill,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/3542/628089/5e5e2d19233c8fbc8dce3929ae9bb4cfcc25f283__78144.1.jpg,"3,239.00",
GE Profile™ ENERGY STAR® 27.9 Cu. Ft. Smart Fingerprint Resistant 4-Door French-Door Refrigerator with Door In Door,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/3497/635153/21ea5252c51a94fa9c1211999e97c2cf9125c82a__01535.1.jpg,"2,599.00",
GE® ENERGY STAR® 20.6 Cu. Ft. Fingerprint Resistant Counter-Depth French-Door Refrigerator,https://cdn11.bigcommerce.com/s-pacto3wrn2/images/stencil/500x659/products/422880/735310/6e0722a1deef5bfa26636d9334b589de3d654443__99573.1.jpg,"1,699.00",
